Aisle_Number,Shelf_Number,Shelf_Location,Item,Quantity,Is_Shelf_Empty
Aisle_1,Shelf_1,A,Item_5471,10,False
Aisle_1,Shelf_1,B,Item_8765,18,False
Aisle_1,Shelf_1,C,Item_3511,92,False
Aisle_1,Shelf_1,D,Item_4514,96,False
Aisle_1,Shelf_2,A,Item_4809,34,False
Aisle_1,Shelf_2,B,Item_2400,84,False
Aisle_1,Shelf_2,C,Item_5042,88,False
Aisle_1,Shelf_2,D,Item_1638,21,False
Aisle_1,Shelf_3,A,,0,True
Aisle_1,Shelf_3,B,,0,True
Aisle_1,Shelf_3,C,,0,True
Aisle_1,Shelf_3,D,,0,True
Aisle_2,Shelf_1,A,,0,True
Aisle_2,Shelf_1,B,,0,True
Aisle_2,Shelf_1,C,,0,True
Aisle_2,Shelf_1,D,,0,True
Aisle_2,Shelf_2,A,Item_3234,59,False
Aisle_2,Shelf_2,B,Item_1223,14,False
Aisle_2,Shelf_2,C,Item_6460,52,False
Aisle_2,Shelf_2,D,Item_9900,63,False
Aisle_3,Shelf_1,A,,0,True
Aisle_3,Shelf_1,B,,0,True
Aisle_3,Shelf_1,C,,0,True
Aisle_3,Shelf_1,D,,0,True
Aisle_3,Shelf_2,A,Item_4198,3,False
Aisle_3,Shelf_2,B,Item_1390,42,False
Aisle_3,Shelf_2,C,Item_1729,99,False
Aisle_3,Shelf_2,D,Item_6939,54,False
Aisle_3,Shelf_3,A,Item_2315,33,False
Aisle_3,Shelf_3,B,Item_3196,64,False
Aisle_3,Shelf_3,C,Item_8801,79,False
Aisle_3,Shelf_3,D,Item_2587,44,False
Aisle_4,Shelf_1,A,Item_2098,90,False
Aisle_4,Shelf_1,B,Item_8281,96,False
Aisle_4,Shelf_1,C,Item_1948,68,False
Aisle_4,Shelf_1,D,Item_3045,85,False
Aisle_4,Shelf_2,A,Item_1731,2,False
Aisle_4,Shelf_2,B,Item_3257,9,False
Aisle_4,Shelf_2,C,Item_2035,26,False
Aisle_4,Shelf_2,D,Item_3593,74,False
Aisle_5,Shelf_1,A,Item_3056,21,False
Aisle_5,Shelf_1,B,Item_7554,31,False
Aisle_5,Shelf_1,C,Item_3574,91,False
Aisle_5,Shelf_1,D,Item_1521,58,False
Aisle_5,Shelf_2,A,,0,True
Aisle_5,Shelf_2,B,,0,True
Aisle_5,Shelf_2,C,,0,True
Aisle_5,Shelf_2,D,,0,True
Aisle_5,Shelf_3,A,,0,True
Aisle_5,Shelf_3,B,,0,True
Aisle_5,Shelf_3,C,,0,True
Aisle_5,Shelf_3,D,,0,True
